10223	Neumünster	54.07399	9.98456	t125
10225	Neunkirchen	49.34449	7.18045	t126
10229	Neuwied	50.4336	7.47057	t127
10230	Nidda	50.4133	9.00638	t128
10231	Niederkassel	50.81503	7.03777	t129
10234	Nordenham	53.50098	8.48965	t130
10236	Obertshausen	50.07139	8.85123	t131
10237	Oberursel	50.20731	8.57747	t132
10238	Odenthal	51.03333	7.11667	t133
10239	Oelde	51.8289	8.14724	t134
10240	Oer-Erkenschwick	51.64198	7.26451	t135
10241	Olching	48.2	11.33333	t136
10242	Olpe	51.02899	7.85139	t137
10243	Osterholz-Scharmbeck	53.22659	8.7923	t138
10245	Overath	50.93275	7.28389	t139
10247	Petershagen	52.37513	8.96538	t140
10248	Pfungstadt	49.80557	8.60307	t141
10250	Pinneberg	53.65887	9.79698	t142
10251	Pirmasens	49.20145	7.60529	t143
10252	Pulheim	50.99965	6.80632	t144
10253	Quickborn	53.72821	9.91078	t145
10255	Rastatt	48.85851	8.20965	t146
10256	Ratingen	51.29724	6.84929	t147
10258	Remagen	50.57879	7.22703	t148
10259	Rendsburg	54.30182	9.67175	t149
10260	Rheda-Wiedenbrück	51.84967	8.30017	t150
10261	Rheinbach	50.62562	6.94911	t151
10262	Rheinberg	51.54649	6.59525	t152
10263	Rheine	52.28509	7.44055	t153
10265	Rietberg	51.80924	8.42841	t154
10266	Rinteln	52.18604	9.07917	t155
10268	Rösrath	50.89559	7.18175	t156
10269	Rotenburg	53.11032	9.4036	t157
10270	Roth	49.24762	11.09111	t158
10272	Salzkotten	51.6717	8.60092	t159
10273	Sarstedt	52.23495	9.85411	t160
10274	Schifferstadt	49.38417	8.3775	t161
10275	Schleswig	54.52021	9.56829	t162
10276	Schmelz	49.43333	6.85	t163
10277	Schopfheim	47.65105	7.82089	t164
10278	Schrobenhausen	48.56067	11.26071	t165
10281	Schwelm	51.28635	7.29388	t166
10282	Schwerte	51.44387	7.5675	t167
10283	Schwetzingen	49.38217	8.5823	t168
10287	Siegburg	50.80019	7.20769	t169
10289	Sinzig	50.54384	7.24639	t170
10290	Soest	51.57558	8.10619	t171
10291	Solingen	51.17343	7.0845	t172
10292	Soltau	52.98537	9.83983	t173
10293	Spenge	52.14021	8.48475	t174
10294	Speyer	49.32083	8.43111	t175
10295	Sprockhövel	51.34669	7.24343	t176
10300	Stadtallendorf	50.82261	9.01294	t177
10301	Stadthagen	52.32333	9.20311	t178
10302	Stadtlohn	51.99399	6.91918	t179
10303	Steinfurt	52.15045	7.33664	t180
10304	Steinhagen	52.0	8.4	t181
10308	Stolberg	50.77368	6.22595	t182
10310	Sulzbach	49.29882	7.05696	t183
10311	Telgte	51.97995	7.78293	t184
10312	Troisdorf	50.80901	7.14968	t185
10313	Trossingen	48.07667	8.64409	t186
10314	Übach-Palenberg	50.91775	6.12336	t187
10316	Uetersen	53.68878	9.66197	t188
10318	Unna	51.53795	7.68969	t189
10319	Unterschleißheim	48.28038	11.57684	t190
10322	Vechta	52.72632	8.28598	t191
10323	Velbert	51.33537	7.04348	t192
10324	Verden	52.92334	9.23804	t193
10325	Viernheim	49.54033	8.5782	t194
10326	Viersen	51.25435	6.39441	t195
